approve_department,approve_number,approve_date,project_name,project_id,project_type,project_company,approve_result,approve_item
博湖县发展和改革委员会,博发改备案[2018]2号,"            				2018-02-13
            		",博湖县乌兰再格森乡民俗村建设项目—原乡天地,"
                2018-652829-50-03-001260
                ","
                备案
                ","
                博湖县吉顺工程建设有限公司
                ",通过,县（市、区）属内资项目备案
新源县发展和改革委员会,"暂无文号
            			","
            				2018-03-21
            		",伊犁驭成博固管业有限公司,"
                2018-654025-31-03-001246
                ","
                备案
                ","
                伊犁驭成博固管业有限公司
                ",不通过,县（市、区）属内资项目备案
头屯河区发展和改革委员会,1809150831014,"            				2018-02-13
            		",新疆金昊盛源电力抢修基地,"
                2018-650106-44-03-001262
                ","
                备案
                ","
                新疆金昊盛源投资有限公司
                ",通过,县（市、区）属内资项目备案
头屯河区发展和改革委员会,1809150721013,"            				2018-02-13
            		",新疆工程机械加工与交易中心四期,"
                2018-650106-70-03-000994
                ","
                备案
                ","
                新疆金族投资有限公司
                ",通过,县（市、区）属内资项目备案
博尔塔拉蒙古自治州发展和改革委员会,博州,"            				2018-02-09
            		",博州阿拉山口综合保税区散粮铁路专用线、转运和仓储设施项目,"
                2018-652702-53-03-001001
                ","
                备案
                ","
                阿拉山口市发展和改革委员会
                ",通过,地区内资项目备案
博尔塔拉蒙古自治州发展和改革委员会,博州,"            				2018-02-09
            		",博州五台园区给排水工程PPP项目,"
                2018-652701-78-03-001008
                ","
                备案
                ","
                新疆拓源工程管理咨询有限公司
                ",通过,地区内资项目备案
博乐市发展和改革委员会,博市发改发【2018】3号,"            				2018-03-15
            		",博州金三角工业园区2017年道路及附属设施工程建设项目污水处理厂建设项目,"
                2018-652701-77-03-001031
                ","
                备案
                ","
                博乐市阳光合力建筑安装有限责任公司
                ",通过,县（市、区）属内资项目备案
霍尔果斯市发展和改革委员会,霍市发改【2018】26号,"            				2018-01-24
            		",霍尔果斯市东风路干渠东侧临时广告牌安装工程,"
                2018-654004-50-01-000583
                ","
                审批
                ","
                霍尔果斯市住房和城乡建设局
                ",通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
"阿拉山口市发展和改革委员会,阿拉山口市发展和改革委员会","暂无文号
            			,阿市发改备 ﹝2018﹞2号","
            				2018-02-06
            		,            				2018-02-07
            		",阿拉山口镇宇商贸有限公司年产30万吨废钢再生利用项目,"
                2018-652702-31-03-001013
                ","
                备案
                ","
                阿拉山口镇宇商贸有限公司
                ","不通过,通过","县（市、区）属内资项目备案,县（市、区）属内资项目备案"
头屯河区发展和改革委员会,1809150581012,"            				2018-02-09
            		",美克筑嘉二期仓储物流、生产加工项目,"
                2018-650106-59-03-001051
                ","
                备案
                ","
                新疆美克筑嘉投资有限公司
                ",通过,县（市、区）属内资项目备案
温宿县发展和改革委员会,8,"            				2018-01-24
            		",温宿县人民医院单身宿舍、驻村干部周转房、手术室空调机房、钢架楼梯维修改造项目,"
                2018-652922-83-01-000611
                ","
                审批
                ","
                温宿县人民医院
                ",通过,县（市、区）级政府出资的建设项目项目建议书审批（党政机关及事业单位办公楼建设项目除外）
头屯河区发展和改革委员会,1809150221006,"            				2018-01-24
            		",办公楼及生产厂房建设项目,"
                2018-650106-51-03-000614
                ","
                备案
                ","
                新疆珠峰工贸有限公司
                ",通过,县（市、区）属内资项目备案
乌尔禾区发展和改革委员会,克乌发改工〔2018〕2号,"            				2018-01-24
            		",含油废弃物处置利用扩能及技术升级项目,"
                2018-650205-77-03-000615
                ","
                备案
                ","
                克拉玛依顺通环保科技有限责任公司
                ",通过,县（市、区）属内资项目备案
木垒县发展和改革委员会,木发改字【2018】29号,"            				2018-03-17
            		",木垒县胡杨迎宾馆装修改扩建工程,"
                2018-652328-50-01-000622
                ","
                审批
                ","
                木垒县城发城市建设投资有限责任公司
                ",通过,县（市、区）级政府出资的建设项目项目建议书审批（党政机关及事业单位办公楼建设项目除外）
呼图壁县发展和改革委员会,HFG001-20180215-01,"            				2018-02-27
            		",年生产2万吨涤纶短纤维生产线项目,"
                2018-652323-17-03-000639
                ","
                备案
                ","
                新疆锦誉恒盛新材料有限公司
                ",通过,县（市、区）属内资项目备案
新市区发展和改革委员会,18101606510004,"            				2018-01-29
            		",新一代物联网与人工智能创新服务平台,"
                2018-650104-65-03-000646
                ","
                备案
                ","
                新疆电子研究所股份有限公司
                ",通过,县（市、区）属内资项目备案
新市区发展和改革委员会,18101605610005,"            				2018-01-29
            		",海航新疆基地二期项目,"
                2018-650104-56-03-000648
                ","
                备案
                ","
                海南航空控股股份有限公司
                ",通过,县（市、区）属内资项目备案
吐鲁番市发展和改革委员会,吐市发改农经[2018]33号,"            				2018-02-13
            		",吐鲁番市托克逊县白杨河城区上游段及北大桥下游段防洪工程,"
                2018-652123-76-01-000657
                ","
                审批
                ","
                托克逊县水利局
                ",通过,地（州、市）出资建设的项目初步设计报告审批（党政机关及事业单位办公楼建设项目除外）
新市区发展和改革委员会,18101501510006 ,"            				2018-01-31
            		",新疆特色农产品深加工基地,"
                2018-650104-15-03-000751
                ","
                备案
                ","
                新疆古得亚食品有限公司
                ",通过,县（市、区）属内资项目备案
阿图什市发展和改革委员会,阿发改字【2018】11号,"            				2018-02-02
            		",2017年阿图什市教育局第二批薄弱学校改造建设项目,"
                2018-653001-82-01-000761
                ","
                审批
                ","
                阿图什市教育局
                ",通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
温泉县发展和改革委员会,温发改备字〔2018〕1号,"            				2018-01-31
            		",温泉县博温新公路G219线加油加气站项目,"
                2018-652723-45-03-000812
                ","
                备案
                ","
                温泉县路通能源有限公司
                ",通过,县（市、区）属内资项目备案
头屯河区发展和改革委员会,1809150741010,"            				2018-02-07
            		",金百合摄影文化产业园,"
                2018-650106-72-03-000781
                ","
                备案
                ","
                新疆金科源投资有限责任公司
                ",通过,县（市、区）属内资项目备案
头屯河区发展和改革委员会,1809150631008,"            				2018-02-06
            		",翰林大厦项目,"
                2018-650106-51-03-000826
                ","
                备案
                ","
                新疆泊翰林商贸有限公司
                ",通过,县（市、区）属内资项目备案
乌鲁木齐市发展和改革委员会,乌发改函〔2018〕71号,"            				2018-03-01
            		",乌鲁木齐市2017年-2018年棚户区改造项目（2018年）—天山区南湾街和北湾街片区二期,"
                2018-650102-93-01-000829
                ","
                审批
                ","
                乌鲁木齐市建设委员会
                ",通过,地（州、市）级政府出资的建设项目可行性研究报告审批（党政机关及事业单位办公楼建设项目除外）
巴楚县发展和改革委员会,巴发改备案[2018]11号,"            				2018-02-01
            		",巴楚县鲁新建材有限公司新建日产水泥彩瓦建设项目,"
                2018-653130-30-03-000814
                ","
                备案
                ","
                巴楚县鲁新建材有限公司
                ",通过,县（市、区）属内资项目备案
巴里坤县发展和改革委员会,巴发改备[2018]05号,"            				2018-02-02
            		",巴里坤县梧徕森大酒店建设项目,"
                2018-652222-47-03-000825
                ","
                备案
                ","
                巴里坤县城镇夏氏电器家俬商场
                ",通过,县（市、区）属内资项目备案
克孜勒苏柯尔克孜自治州发展和改革委员会,克发改字[2016]151号,"            				2018-02-12
            		",阿图什市哈拉峻乡哈达塔姆小学教师周转宿舍建设项目(中央预算内),"
                2018-653001-82-01-000828
                ","
                审批
                ","
                阿图什市教育局
                ",通过,中央投资地（州）属社会事业项目可行性研究报告（代项目建议书）审批
乌鲁木齐市发展和改革委员会,乌发改函〔2018〕72号,"            				2018-03-01
            		",乌鲁木齐市2017年-2018年棚户区改造项目（2018年）—天山区中湾街片区二期,"
                2018-650102-93-01-000839
                ","
                审批
                ","
                乌鲁木齐市建设委员会
                ",通过,地（州、市）级政府出资的建设项目可行性研究报告审批（党政机关及事业单位办公楼建设项目除外）
头屯河区发展和改革委员会,1809150471009,"            				2018-02-07
            		",乌鲁木齐市汇丰展物资有限公司4180平米厂房建设,"
                2018-650106-26-03-000853
                ","
                备案
                ","
                乌鲁木齐市汇丰展物资有限公司
                ",通过,县（市、区）属内资项目备案
水磨沟区发展和改革委员会,1803160441001,"            				2018-02-07
            		",2017年新疆康斯佳能源股份有限公司E网智慧城市供热系统工程水区,"
                2018-650105-44-03-000860
                ","
                备案
                ","
                新疆康斯佳能源股份有限公司
                ",通过,县（市、区）属内资项目备案
鄯善县发展和改革委员会,"暂无文号
            			","
            				2018-02-07
            		",鄯善县东巴扎回族民族乡特色小镇（美丽乡村）建设项目,"
                2018-652122-78-01-000863
                ","
                审批
                ","
                鄯善县东巴扎回族民族乡人民政府
                ",不通过,由县（市、区）及县投资主管行政主管部门审批、核准、备案固定资产投资项目节能评估审查（市、州直行政主管部门及跨县、市项目除外）
白碱滩区发展和改革委员会,白经促备字[2018]1号,"            				2018-02-06
            		",玛北天然气中冷处理站建设项目,"
                2018-650204-45-03-000883
                ","
                备案
                ","
                克拉玛依市富城天然气有限责任公司
                ",通过,县（市、区）属内资项目备案
白碱滩区发展和改革委员会,白经促备字[2018]2号,"            				2018-02-06
            		",玛18站新建天然气外输管道项目,"
                2018-650204-45-03-000884
                ","
                备案
                ","
                克拉玛依市富城天然气有限责任公司
                ",通过,县（市、区）属内资项目备案
霍尔果斯市发展和改革委员会,霍市发改【2018】41号,"            				2018-02-06
            		",城区道路绿化完善工程,"
                2018-654004-78-01-000889
                ","
                审批
                ","
                霍尔果斯市住房和城乡建设局
                ",通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
白碱滩区发展和改革委员会,白经促备字[2018]3号,"            				2018-02-06
            		",5x104Nm3/d和10x104Nm3/d天然气液化（LNG）撬装装置项目,"
                2018-650204-45-03-000882
                ","
                备案
                ","
                克拉玛依市富城天然气有限责任公司
                ",通过,县（市、区）属内资项目备案
霍尔果斯市发展和改革委员会,"暂无文号
            			","
            				2018-01-29
            		",霍尔果斯市城区道路绿化完善工程,"
                2018-654004-78-03-000661
                ","
                备案
                ","
                霍尔果斯市住房和城乡建设局
                ",不通过,县（市、区）属内资项目备案
头屯河区发展和改革委员会,1809150254007,"            				2018-01-26
            		",罐区危化品仓储改造项目,"
                2018-650106-25-03-000671
                ","
                备案
                ","
                新疆凌志化工有限责任公司
                ",通过,县（市、区）属内资项目备案
头屯河区发展和改革委员会,1809150382017,"            				2018-03-05
            		",扩建厂房及办公楼建设项目,"
                2018-650106-41-03-000663
                ","
                备案
                ","
                乌鲁木齐众鑫磊电子设备有限公司
                ",通过,县（市、区）属内资项目备案
克孜勒苏柯尔克孜自治州发展和改革委员会,克发改字[2018]54号,"            				2018-02-12
            		",阿克陶县克孜勒陶乡塔尔开其克村饮水管道工程,"
                2018-653022-76-01-000706
                ","
                审批
                ","
                阿克陶县中小型公益性水利工程建设项目法人办公室
                ",通过,中央投资农村饮水安全项目实施方案审批
白碱滩区发展和改革委员会,白发改备字[2018]3号,"            				2018-01-26
            		",新疆摩珈生物科技有限公司生物技术产业化项目,"
                2018-650204-27-03-000683
                ","
                备案
                ","
                新疆摩珈生物科技有限公司
                ",通过,县（市、区）属内资项目备案
乌恰县发展和改革委员会,WQ002018001,"            				2018-01-30
            		",乌恰县禾丰纺织1000万双织祙生产线项目,"
                2018-653024-18-03-000711
                ","
                备案
                ","
                乌恰县禾丰纺织有限公司
                ",通过,县（市、区）属内资项目备案
托克逊县发展和改革委员会,托发改项【2017】211号  ,"            				2018-01-30
            		",托克逊县能源重化工工业园区道路建设工程项目,"
                2018-652123-78-01-000715
                ","
                审批
                ","
                托克逊能源重化工工业园区管理委员会
                ",通过,县（市、区）政府出资建设的项目可行性研究报告审批（党政机关及事业单位办公楼建设项目除外）
巴里坤县发展和改革委员会,巴发改备[2018]06号,"            				2018-02-02
            		",巴里坤县三塘湖镇破碎石厂及商品混凝土拌合站工程扶贫产业发展建设项目,"
                2018-652222-10-03-000712
                ","
                备案
                ","
                巴里坤县永坤工贸有限公司
                ",通过,县（市、区）属内资项目备案
霍尔果斯市发展和改革委员会,备案证编码：2018004,"            				2018-02-06
            		",霍尔果斯中晟清源环保科技有限公司气浮助剂保密原料生产项目,"
                2018-654004-77-03-000729
                ","
                备案
                ","
                霍尔果斯中晟清源环保科技有限公司
                ",通过,县（市、区）属内资项目备案
库车县发展和改革委员会,"暂无文号
            			","
            				2018-01-21
            		",库车县齐满镇团结村小白杏基地节水滴灌项目,"
                2018-652923-01-01-000523
                ","
                审批
                ","
                库车富农农业开发有限责任公司
                ",不通过,县（市、区）级政府出资的建设项目项目建议书审批（党政机关及事业单位办公楼建设项目除外）
库车县发展和改革委员会,"暂无文号
            			","
            				2018-01-29
            		",库车承睿汽车服务公司年维修车辆15000车次项目,"
                2018-652923-80-01-000534
                ","
                审批
                ","
                库车承睿汽车服务有限公司
                ",不通过,由县（市、区）及县投资主管行政主管部门审批、核准、备案固定资产投资项目节能评估审查（市、州直行政主管部门及跨县、市项目除外）
